Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
47,0|1|2|3|4|5|6|7|,0|1973|360|136|76|52|47|14|,nan|152.99242304624633|190.83397060615434|217.2061253871924|226.25202156076884|233.49549854356013|232.1775342847136|222.0730169097017|,nan|17.71677084288492|27.903244967549426|18.328159846738366|15.289493058769596|14.598829483060962|11.087614121919302|12.490868946899685|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|101|1656|182|413|211|74|21|,nan|119.68197462033854|148.99414348065943|170.78092934414363|200.99113948985678|225.05564238874166|239.88096629268324|252.42934342211356|,nan|4.523240233896435|7.993803597454711|7.626733607134792|8.11979473671377|6.186864281485084|2.443321356040806|6.426292399578632|,0|223|6292|4434|327|300|121|71|,0|215|5798|3041|56|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|33|,0|0|0|0|3|15|11|4|,0|113|5059|5544|483|324|115|97|,0|0|0|0|0|0|0|0|,0|0|3712|5247|110|122|46|66|,0|113|1347|297|373|202|69|31|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
48,0|1|2|3|4|5|6|7|,0|1746|333|179|80|43|31|20|,nan|154.10040465561158|187.38420664512753|218.03167890884387|225.49715220733242|229.86454986661445|234.88484294379822|231.71633993009686|,nan|18.194728830808593|27.751305543343005|17.222855866452807|16.561754090122925|16.07653388922338|14.617999292850294|11.911935306776883|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|113|1347|297|373|202|69|31|,nan|120.5438012568395|149.33199836257683|171.09353683044148|201.30458610246322|224.3184857841261|239.674315045212|251.70059223006996|,nan|3.6067479086642154|7.907967745782004|7.646354705623655|8.26273546008238|5.802573392805071|2.6262404420454897|5.324455469206556|,0|214|6059|4435|361|294|99|80|,0|210|5661|3168|71|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|23|,0|0|0|0|1|9|9|4|,0|114|5050|5372|468|308|114|93|,0|0|0|0|0|0|0|0|,0|0|3724|5102|85|84|49|72|,0|114|1326|270|383|224|65|21|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
49,0|1|2|3|4|5|6|7|,0|1720|332|153|99|52|27|20|,nan|153.36470236842612|191.41432799911078|214.7637206652941|225.24444896736202|229.08168976036723|233.70136746170647|230.9073910148432|,nan|18.6125580165238|26.052585018049715|19.366471316118275|15.160069370175988|14.24957525560743|14.154975173931817|12.654367288454699|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|114|1326|270|383|224|65|21|,nan|119.45391122967932|148.84023267449575|171.04388838219515|200.84493160752544|224.836599992008|239.54028402843528|253.15987394099076|,nan|4.802226783641149|8.153474973911903|7.664613426014799|7.982153186348423|5.733785822368866|2.878885947700686|6.895866010057097|,0|222|6077|4373|352|299|116|74|,0|213|5652|3177|67|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|25|,0|0|0|0|3|7|7|8|,0|119|4942|5316|580|329|121|81|,0|0|0|0|0|0|0|0|,0|0|3592|5010|183|88|60|53|,0|119|1350|306|397|241|61|28|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
50,0|1|2|3|4|5|6|7|,0|1766|360|174|95|59|34|14|,nan|154.17287392754727|187.07464631209288|214.82212847960378|224.33614102275777|229.62885009288811|230.69772467410465|230.80009298879457|,nan|19.261618556780356|28.219065085232522|19.287002476962208|16.102682463056805|16.34824615731924|13.199647451394457|12.904209374374554|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|119|1350|306|397|241|61|28|,nan|119.26433717127729|149.0032959998439|170.59254329216742|200.59310500004474|224.02734897935687|240.38445322531072|253.30173110346146|,nan|5.77460445639965|8.176340647564876|7.552242369166981|7.9690589610544045|5.617648125281866|2.9791988823136353|6.804516095404011|,0|200|5972|4557|381|316|108|78|,0|190|5561|3291|67|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|2|11|7|6|,0|89|4701|5658|582|347|113|96|,0|0|0|0|0|0|0|0|,0|0|3235|5479|121|121|49|71|,0|89|1466|179|461|226|64|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
51,0|1|2|3|4|5|6|7|,0|1799|345|148|104|61|38|15|,nan|154.359936931065|191.09814209533607|214.73369589174231|223.64856598990775|228.40549836954582|228.88889308095526|229.54169166715738|,nan|18.470840167239473|28.46362336916793|19.444489238742428|16.891733335671304|15.152176443155138|13.304688220215652|10.753268429552248|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|89|1466|179|461|226|64|25|,nan|119.13806052504492|149.2698743841199|171.5691671659607|199.7502619030436|224.8217657389989|240.02276288765185|253.44845414995223|,nan|4.6519221002251445|8.173951431123447|7.613641722911739|7.850062234338445|5.606490769841042|3.0755592189655636|7.35776417362423|,0|168|5849|4665|432|321|106|79|,0|166|5471|3400|73|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|25|,0|0|0|0|4|12|4|5|,0|89|4762|5658|516|363|111|96|,0|0|0|0|0|0|0|0|,0|0|3230|5482|81|134|33|71|,0|89|1532|176|435|229|78|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
52,0|1|2|3|4|5|6|7|,0|1842|344|172|87|62|39|18|,nan|153.60898256949832|193.14936370149763|216.30195168071847|221.94122176014054|229.0479636803311|233.11366767613632|234.22235887736983|,nan|17.40844374437966|26.888137619633184|20.966021484620363|19.100424808534882|16.730912266909698|13.807069937683922|7.49339924579723|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|89|1532|176|435|229|78|25|,nan|120.10119684669291|149.37142554493738|170.57647804650026|201.04290230154086|224.28329027585798|239.70736878121562|254.12627624916578|,nan|4.226293416798917|7.894067148518039|6.854368861826906|8.042360000292787|6.136330516301659|2.90229163873193|9.552593447316976|,0|217|6294|4278|351|336|124|74|,0|210|5892|2946|62|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|30|,0|0|0|0|1|13|14|2|,0|112|5085|5393|484|345|127|98|,0|0|0|0|0|0|0|0|,0|0|3690|5177|89|116|59|73|,0|112|1395|216|395|229|68|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
53,0|1|2|3|4|5|6|7|,0|1754|309|193|92|46|32|14|,nan|153.36275763449348|189.68497504035463|220.61665182384377|222.51763264320553|227.22050921307505|228.56694861218187|235.81575895874832|,nan|18.256710278363578|27.926792248248738|16.67182750556125|19.725517573272498|15.119037638696087|14.25121541133767|19.743043658668675|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|112|1395|216|395|229|68|25|,nan|120.69894928982944|148.92552213650126|170.2497895673792|201.6165035941395|224.57519886981052|239.46801792248715|253.43486645306865|,nan|4.022249706787051|8.103523575573357|7.4428641803618545|8.066686957206263|5.646528143955512|3.1441571611389576|9.033102927055719|,0|220|6237|4251|321|330|120|71|,0|217|5796|3035|61|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|19|,0|0|0|0|3|5|5|6|,0|120|5219|5219|407|352|130|84|,0|0|0|0|0|0|0|0|,0|0|3753|4828|49|126|50|60|,0|120|1466|391|358|226|80|24|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
54,0|1|2|3|4|5|6|7|,0|1892|398|160|115|55|29|16|,nan|153.36335836266258|183.31209380788115|214.88909972442406|228.59253443873914|228.90759881747468|229.84358884851918|224.72919484145586|,nan|17.99960819770002|26.964746107766814|21.904278858838843|13.275647142460462|16.516188346528804|16.463730476640563|12.027496892078528|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|120|1466|391|358|226|80|24|,nan|119.83102795724585|148.60560181837693|170.363959727476|200.86523321961528|224.11567614573136|239.64753249039222|252.64963034360355|,nan|4.730129481532969|8.11105925359246|7.100483161293074|8.005199022535374|5.53324017589092|2.7447249026322216|7.387449265530377|,0|219|6262|4446|357|306|104|81|,0|210|5772|3076|52|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|19|,0|0|0|0|4|7|3|5|,0|126|5196|5436|468|319|118|93|,0|0|0|0|0|0|0|0|,0|0|3860|5147|94|89|50|65|,0|126|1336|289|374|230|68|28|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
55,0|1|2|3|4|5|6|7|,0|1699|367|174|94|65|32|20|,nan|152.7132872586221|185.62419701080208|213.28951255712968|226.25706141485674|231.83127271581066|232.1642881828576|227.55838240694848|,nan|18.10394434552037|27.45775912074025|20.58334157792536|17.380978801939573|12.167550983303451|11.931117447848363|16.276438619893554|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|126|1336|289|374|230|68|28|,nan|119.77170558335094|148.74637792670364|170.11484618290388|200.46635111960202|224.8155119983558|239.50142322465626|252.367346133979|,nan|4.519456311576799|8.065917244343462|7.074790604626535|7.884308917437893|5.709408397590905|2.7697166924434904|6.427656543043117|,0|193|5959|4548|371|294|120|76|,0|188|5556|3292|74|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|21|,0|0|0|0|3|9|6|3|,0|100|4901|5519|493|305|125|97|,0|0|0|0|0|0|0|0|,0|0|3357|5334|66|91|44|74|,0|100|1544|185|427|214|81|23|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
56,0|1|2|3|4|5|6|7|,0|1876|302|172|110|56|36|22|,nan|153.2554083619425|188.64856197047507|213.85731672550756|224.39166175297822|228.96119784256626|232.8421422317678|232.32406465005522|,nan|18.06987275694592|27.98539470902736|19.3874033639056|15.154607491080975|15.320359644983364|11.346842233756293|14.215307156431734|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|100|1544|185|427|214|81|23|,nan|119.2601522568145|148.92619095939298|170.83419078431928|200.37014385849199|224.54709581869335|239.28726096102943|251.95866351425641|,nan|6.263674909180293|8.132172193474924|7.761129249982469|8.047883738334013|5.79633568329121|2.8006339946634724|6.374777733231363|,0|189|6133|4496|372|305|114|75|,0|179|5712|3160|59|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|27|,0|0|0|0|3|9|9|6|,0|106|4883|5629|494|344|111|90|,0|0|0|0|0|0|0|0|,0|0|3543|5444|110|107|38|63|,0|106|1340|185|384|237|73|27|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
57,0|1|2|3|4|5|6|7|,0|1657|319|154|97|67|32|26|,nan|153.68466603018297|188.93292309466784|216.42381429579564|225.06340775700022|231.29345696022312|230.01854128128107|236.91471959666268|,nan|18.378046982502163|28.89221982695101|19.73077400657641|14.267666574751413|14.10628116875036|15.469616664587733|10.025555648370736|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|106|1340|185|384|237|73|27|,nan|118.43890343070005|149.41568999381832|170.9530564655816|201.0115809846211|224.44569608715364|239.72748083307755|252.68528544352054|,nan|5.4274748722082595|7.927569513414787|7.491285442521389|8.130273943749007|5.956989871674452|2.901533005032622|5.5440094317523565|,0|227|6105|4292|317|333|113|75|,0|212|5697|3130|71|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|28|,0|0|0|0|0|15|6|7|,0|141|5057|5236|463|319|133|85|,0|0|0|0|0|0|0|0|,0|0|3611|4898|108|79|57|58|,0|141|1446|338|355|240|76|27|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
58,0|1|2|3|4|5|6|7|,0|1858|377|166|96|63|42|21|,nan|152.90621868241936|186.5641070281091|213.92485638708828|226.3887580686807|227.99859948550153|232.74967901466343|232.21866074983942|,nan|17.93380152765312|28.23217172587821|22.348990695187332|14.537995271893955|14.184227255621192|14.135185741241699|14.108521955618786|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|141|1446|338|355|240|76|27|,nan|119.84082945161688|149.168831184835|170.2277341905484|201.93713886652577|224.44554810167|239.53426577017768|251.97698946020887|,nan|5.2382912033721025|8.22168309174857|7.2848038451447605|8.205501948380098|5.544222479580517|2.7791413053224274|5.714821047157256|,0|184|6092|4583|354|312|132|76|,0|179|5645|3217|69|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|1|12|6|7|,0|94|4946|5598|522|312|140|95|,0|0|0|0|0|0|0|0|,0|0|3483|5446|91|79|61|75|,0|94|1463|152|431|233|79|20|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
59,0|1|2|3|4|5|6|7|,0|1757|328|165|96|60|42|24|,nan|153.20414046806394|190.23158754211718|216.9447300815775|222.47488942876524|228.51054951856185|230.9919082523721|232.53646544685924|,nan|17.787846706514305|27.54832090841379|19.558465848695732|19.576094117331508|13.820034741805342|13.609746157748162|10.207021076650587|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|94|1463|152|431|233|79|20|,nan|119.4438651823396|148.96815022619919|171.2027432209641|199.64699969227283|225.33232435443367|239.59974025089082|252.63308269168115|,nan|5.393037510371415|7.983334842536967|7.469533630502895|7.939986902614519|5.827869843516392|2.785671630408885|5.795775494269227|,0|213|6086|4393|396|295|125|74|,0|205|5650|3178|77|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|33|,0|0|0|0|4|12|12|5|,0|102|5017|5408|483|329|115|95|,0|0|0|0|0|0|0|0|,0|0|3595|5228|64|89|35|68|,0|102|1422|180|419|240|80|27|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
60,0|1|2|3|4|5|6|7|,0|1725|322|198|99|56|49|21|,nan|153.23310341743004|188.44648910072422|215.15533769663932|224.21944681803268|226.7259075236621|232.72394265609972|233.47293348088937|,nan|18.199788913444735|28.72113563716005|20.377161927040856|18.433182761833603|13.46683132761815|12.955976775615355|8.549522592524301|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|102|1422|180|419|240|80|27|,nan|120.12749129118563|148.87544345105138|170.19878683065755|201.52051680597557|224.2380271764529|239.64287768342106|251.59596265377792|,nan|4.150421545770527|7.994810124608666|7.541500733453782|8.196483824090397|6.1364677913413725|2.5840585413845814|4.917269242584347|,0|172|6315|4217|333|351|113|79|,0|168|5893|2983|66|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|29|,0|0|0|0|1|14|9|5|,0|89|4993|5345|539|361|123|101|,0|0|0|0|0|0|0|0|,0|0|3593|5044|134|131|49|76|,0|89|1400|301|405|230|74|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
61,0|1|2|3|4|5|6|7|,0|1824|316|151|115|57|32|29|,nan|154.8967627923191|190.01134078393466|216.62713008429625|225.36083605947303|227.31904431465816|228.49892902931384|232.31024735727962|,nan|18.04957838691628|26.59053063415779|19.435019086159198|15.982993389290412|16.59172355227633|12.238615281728451|9.785251661288966|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|89|1400|301|405|230|74|25|,nan|120.32953112985686|149.37561743965438|170.12407405828728|201.20487198476297|224.66189501986315|239.4002493234436|251.61015211063923|,nan|3.675558243625161|7.821371023701461|7.736052750157807|8.090924451032356|5.873856742334259|2.740494416351022|4.92025556589523|,0|187|5908|4654|344|352|119|70|,0|184|5544|3321|61|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|5|13|5|3|,0|95|4736|5695|500|369|124|89|,0|0|0|0|0|0|0|0|,0|0|3129|5438|87|138|48|61|,0|95|1607|257|413|231|76|28|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
62,0|1|2|3|4|5|6|7|,0|1995|345|145|94|73|33|22|,nan|153.73440044841107|192.26438390835403|215.1219446328078|225.1379213244203|232.1494452103293|228.07680432013302|235.45235438023857|,nan|17.735400824974686|24.77592546450803|19.279044049468638|16.781095640678164|13.781425410146829|14.32572391885297|9.895725773262313|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|95|1607|257|413|231|76|28|,nan|119.10198888331708|149.29224211569937|171.35643484731034|199.95508833625718|224.83895052243642|239.55133690045952|251.76097574656583|,nan|5.365577293217027|7.987095992746581|7.377420768375061|7.9274055354420625|5.66575542298734|2.5724458201530025|5.715508717254514|,0|205|6146|4565|401|298|121|81|,0|196|5720|3128|66|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|5|11|6|4|,0|120|4998|5549|551|346|118|109|,0|0|0|0|0|0|0|0|,0|0|3626|5299|131|109|29|84|,0|120|1372|250|420|237|89|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
63,0|1|2|3|4|5|6|7|,0|1745|362|182|92|63|47|22|,nan|153.9305498756926|187.75119296016553|216.35770756919158|224.88669760230724|227.6507031635805|234.5572636909219|234.01033622677215|,nan|19.13754173015237|27.635931103111925|16.379835886442468|16.498263629510703|16.342074448805594|12.991225053452153|10.69215783950793|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|120|1372|250|420|237|89|25|,nan|119.6128118549644|149.34824663707508|170.1793687799388|201.16541950010756|224.61151755790493|239.65209382973273|252.0086890269699|,nan|5.174700456758422|7.992438936546185|7.129487372681016|8.00304347553219|5.922923169233197|2.817900741939325|6.5984155355050875|,0|208|6150|4365|349|336|128|87|,0|197|5735|3110|68|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|33|,0|0|0|0|0|13|12|8|,0|133|5056|5383|437|356|135|90|,0|0|0|0|0|0|0|0|,0|0|3679|5113|53|139|49|65|,0|133|1377|270|384|217|86|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
64,0|1|2|3|4|5|6|7|,0|1792|301|168|117|51|39|24|,nan|153.1742016725731|188.6606595623867|213.92454488841906|223.93923356886793|230.57223957105245|228.6625225057258|233.50139254080887|,nan|18.196045147689073|28.60403155460581|22.447565170205213|14.200923969175475|13.31006535892549|16.921170221902106|12.531781829144773|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|133|1377|270|384|217|86|25|,nan|120.46234860610376|148.86508010439704|170.67605540942972|200.55614540554348|224.36726400062014|239.78317693810502|251.29783366859746|,nan|4.497750075888961|8.01288132827106|7.628387689395909|8.132647730770449|5.874316255825919|3.0363306520736852|4.728938938862532|,0|212|6090|4442|369|291|111|87|,0|208|5649|3196|57|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|35|,0|0|0|1|5|13|9|7|,0|104|4769|5643|503|331|112|105|,0|0|0|0|0|0|0|0|,0|1|3264|5429|125|100|38|86|,0|103|1505|214|378|231|74|19|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
65,0|1|2|3|4|5|6|7|,0|1810|352|146|95|77|26|18|,nan|153.11848436076193|188.56615552140605|217.04713670726608|222.18374127661698|227.47088564298275|233.54232865781717|229.79047305208147|,nan|17.317251843571242|27.15973781958337|21.157721369581882|15.859385680315006|13.245002939848716|13.934267883696783|11.995132533247205|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|103|1505|214|378|231|74|19|,nan|120.27904123255709|149.4422626929564|170.9419392088485|200.64270709718943|224.13873994840404|239.93967117278288|251.80097912908633|,nan|4.389076549423453|8.071268456304622|7.1515985228137335|7.863572882750109|5.93222666920199|2.7457554575075465|5.1672559933742495|,0|184|6133|4468|374|300|101|74|,0|181|5686|3172|71|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|13|,0|0|0|0|2|7|1|3|,0|107|5030|5405|555|320|115|89|,0|0|0|0|0|0|0|0|,0|0|3630|5185|126|91|34|62|,0|107|1400|220|429|229|81|27|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
66,0|1|2|3|4|5|6|7|,0|1750|342|178|88|56|57|22|,nan|153.44837842293762|187.29257250613156|217.2909922856919|227.87639980712754|225.93922360614826|231.63886768993115|235.68152076114063|,nan|18.81518741925818|26.149737927085692|17.62896897449313|16.025255873349405|11.39915154318482|13.021405689600282|12.234033784103607|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|107|1400|220|429|229|81|27|,nan|119.60275414458201|148.77239323309166|170.34237287963498|200.61040328334047|225.0846564239185|239.82252142096465|250.91135059581163|,nan|4.407632066576924|8.199885450455781|6.900785860952878|7.810318920453985|5.71175289276118|2.8455517786896034|5.011474858329924|,0|206|6050|4454|363|324|124|82|,0|201|5601|3255|53|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|36|,0|0|0|0|3|16|12|5|,0|124|4951|5424|515|334|119|100|,0|0|0|0|0|0|0|0|,0|0|3516|5174|101|97|37|84|,0|124|1435|250|414|237|82|16|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
67,0|1|2|3|4|5|6|7|,0|1811|346|175|116|42|36|32|,nan|152.85921476200122|188.38639989880704|215.65133711296392|226.6860874043098|226.07123288107678|227.2567515058775|233.24665555921808|,nan|17.974838095629114|27.278183541646715|17.477769547284662|14.375482809029986|13.600030452053096|11.335628541261586|12.341660132957683|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|124|1435|250|414|237|82|16|,nan|120.73783027215231|148.8376653147199|170.04399386723995|200.84538644046032|224.8886562784756|239.8491964639111|250.22846651136763|,nan|3.9979963256086415|8.213378863894583|7.305360911344717|8.094039360634108|5.485776101219476|2.9635583413096263|3.545454493907778|,0|207|6094|4483|372|310|129|73|,0|203|5650|3191|66|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|39|,0|0|0|0|4|15|11|9|,0|126|5104|5385|464|338|129|83|,0|0|0|0|0|0|0|0|,0|0|3819|5140|63|101|52|59|,0|126|1285|245|401|237|77|24|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
68,0|1|2|3|4|5|6|7|,0|1632|349|180|113|67|30|24|,nan|152.90768400026312|187.53529859296174|212.6718265449828|224.7566852359524|229.48994030927102|230.50344501990773|229.49024655853464|,nan|18.71406584094424|26.45761035758965|21.180978868201095|14.922785722170248|14.356741795871686|13.324135972903811|9.833415429084765|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|126|1285|245|401|237|77|24|,nan|120.24332678184187|148.82108607515386|171.21903088888624|200.96591140429743|224.12701677071502|239.2863848234364|250.30777282527234|,nan|4.463660776019258|8.050304341975977|7.299783698042964|8.116278592201143|5.647174714931649|2.8251267444059334|3.857405482024373|,0|190|6016|4405|385|315|124|70|,0|188|5600|3247|75|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|27|,0|0|0|0|1|16|6|4|,0|103|5073|5221|522|345|129|85|,0|0|0|0|0|0|0|0|,0|0|3749|4990|93|112|54|61|,0|103|1324|231|429|233|75|24|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
69,0|1|2|3|4|5|6|7|,0|1685|337|174|106|62|39|16|,nan|153.50206754628906|190.25330636638597|214.10845462340288|227.60969758190092|227.6144911559457|233.62432278728267|230.63561860416985|,nan|18.631554255123763|27.216126757527938|18.55085654536332|13.400997207803327|14.873540624716199|14.726362390150307|12.103716449121475|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|103|1324|231|429|233|75|24|,nan|119.6029547091337|148.5898956978078|170.45699478735233|201.06502821469775|224.71181379139963|239.8510828737441|251.25796163804853|,nan|5.313045230640689|8.267475195236942|6.951432003911353|8.388517844653684|5.607808852070356|2.8757751229813886|4.743002676357932|,0|195|6141|4314|352|334|128|65|,0|187|5703|3165|55|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|31|,0|0|0|0|4|6|12|9|,0|112|5119|5236|473|344|133|81|,0|0|0|0|0|0|0|0|,0|0|3797|4959|107|135|51|58|,0|112|1322|277|366|209|82|23|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
70,0|1|2|3|4|5|6|7|,0|1671|344|153|98|66|41|18|,nan|153.27193963237346|186.1737094923713|214.88627103375507|225.73341012409094|234.32813138437626|227.1695080017663|231.41394828854877|,nan|17.657105508868874|27.362885578363617|20.966088384623074|14.656166349734201|10.851242418258916|12.670195539829802|13.95986163693395|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|112|1322|277|366|209|82|23|,nan|119.80400325041846|149.19989227462202|170.4627752807728|201.75111996689657|224.55865943236574|240.09156072924932|250.6967829180049|,nan|5.296674769520793|7.955628636061995|6.846518724429185|8.12587151242135|5.729598089036525|3.1097377548098173|4.179524811644385|,0|185|6096|4380|347|300|117|76|,0|176|5718|3147|69|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|30|,0|0|0|0|2|16|9|3|,0|105|4857|5448|525|325|115|96|,0|0|0|0|0|0|0|0|,0|0|3423|5227|82|77|31|68|,0|105|1434|221|443|248|84|28|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
